propertytype;listingtype;averagedailyrate;occupancyrateltm;numberofbookingsltm;numberofreviews;bedrooms;bathrooms;maxguests;cancellationpolicy;securitydeposit;cleaningfee;extrapeoplefee;publishednightlyrate;publishedmonthlyrate;publishedweeklyrate;minimumstay;numberofphotos;city_num;rating
Apartment;Private room;35;1;2;1;1;1;1;Flexible;;;;35;980;245;3;3;68;4
House;Entire home/apt;308;0;16;1;2;1;5;Moderate;250;75;;250;7000;1750;2;24;75;4
Apartment;Entire home/apt;108;1;10;7;1;1;2;Strict;250;95;;99;2333;633;7;12;8;4
Apartment;Entire home/apt;273;1;5;5;1;1;2;Strict;;90;;219;6132;1533;1;30;75;4
Apartment;Entire home/apt;;;0;4;4;4;15;Strict;400;100;30;299;8874;0;2;0;75;2
Apartment;Entire home/apt;237;1;6;1;0;1;3;Strict;;60;;250;7000;1750;2;16;75;4
House;Private room;82;1;59;55;1;1;2;Moderate;250;15;;70;1960;440;2;19;8;3
House;Entire home/apt;250;1;0;5;2;1;8;Strict;400;;10;250;4111;1500;1;25;75;3
Apartment;Private room;;;0;;1;1;2;Flexible;;;;132;3179;900;2;;75;
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;100;2800;700;1;2;75;
"Bed &amp; Breakfast";Private room;108;0;14;67;1;1;2;Strict;;50;15;95;2660;665;3;17;8;4
House;Entire home/apt;132;1;11;10;3;1;4;Moderate;;;;130;3640;600;3;10;53;4
Apartment;Private room;;;0;0;1;1;2;Strict;300;49;20;169;3922;1174;3;8;75;
House;Private room;78;1;4;30;1;1;2;Flexible;;;;78;1411;550;;36;19;3
Condominium;Entire home/apt;291;1;26;15;2;2;4;Moderate;500;185;;295;8260;2065;3;10;75;3
Apartment;Entire home/apt;187;0;4;6;1;1;2;Moderate;250;75;;180;5040;850;3;17;75;4
House;Private room;;;0;16;1;1;2;Strict;200;45;10;74;1463;399;0;0;75;3
House;Private room;;;0;0;1;1;1;Flexible;;;;50;1201;300;1;6;53;
Apartment;Private room;140;0;9;23;1;1;1;Moderate;200;;30;125;3500;875;2;5;79;4
House;Shared room;47;1;16;9;1;2;1;Moderate;200;10;;45;1180;298;1;1;79;4
Apartment;Entire home/apt;89;1;8;6;0;1;2;Flexible;;30;;90;630;2520;2;8;53;4
Townhouse;Private room;72;0;17;8;1;2;7;Strict;500;25;21;100;2800;700;1;5;92;2
House;Private room;;;0;1;1;1;2;Flexible;;;;200;5600;1400;1;4;19;4
Apartment;Entire home/apt;110;1;8;7;1;1;2;Moderate;300;40;;90;2520;630;6;10;44;3
House;Entire home/apt;;;0;0;3;3;6;Flexible;200;95;;1500;42000;10500;2;14;79;
Apartment;Entire home/apt;308;0;9;6;2;1;4;Moderate;;75;;325;7300;1800;5;12;75;4
Townhouse;Private room;;;0;0;1;1;2;Flexible;;25;;46;1288;322;2;1;53;
Apartment;Private room;;;0;0;1;1;2;Flexible;;;;79;2354;400;1;0;75;
House;Entire home/apt;393;1;1;7;3;2;6;Strict;300;125;;400;11200;2800;5;27;75;4
House;Private room;186;0;2;5;1;1;4;Moderate;;70;100;200;5600;1400;2;11;75;4
House;Private room;39;1;3;3;1;2;2;Flexible;;5;;40;1120;280;1;5;8;4
Apartment;Private room;;;0;1;1;1;1;Flexible;;;;100;2968;0;1;0;75;
House;Entire home/apt;398;1;8;10;3;3;6;Strict;500;175;;250;7000;1900;2;12;9;4
"Bed &amp; Breakfast";Entire home/apt;;;0;;3;2;6;Flexible;3000;300;100;495;8475;2995;1;;17;
House;Entire home/apt;200;1;26;15;2;1;4;Strict;500;50;30;195;4800;1200;2;28;8;4
House;Entire home/apt;;;0;;2;1;4;Flexible;;;;275;8162;1925;1;;53;
Apartment;Entire home/apt;107;1;27;16;0;1;2;Flexible;;25;;110;3080;458;4;9;53;4
Apartment;Private room;;;0;1;1;1;1;Flexible;;;;150;4200;1050;1;2;68;4
Apartment;Private room;;;0;0;1;1;1;Flexible;;;;80;2382;0;1;0;92;
House;Entire home/apt;486;0;32;18;3;2;6;Moderate;500;110;45;385;7950;2640;2;24;42;4
Apartment;Private room;94;0;4;2;1;2;2;Flexible;;30;;75;2100;525;20;9;75;3
Apartment;Entire home/apt;202;1;32;72;1;1;2;Moderate;100;60;;185;3927;1312;4;16;75;4
Apartment;Shared room;41;1;0;;1;2;4;Strict;;10;40;41;1291;287;7;;75;
Apartment;Entire home/apt;156;1;92;90;0;1;2;Strict;195;79;11;129;3612;760;14;15;8;4
House;Private room;;;0;;1;2;2;Flexible;;;;90;2671;630;1;;74;
House;Shared room;;;0;0;1;2;1;Flexible;;;;50;;;1;1;46;
Apartment;Entire home/apt;129;1;13;4;2;2;4;Moderate;;;;109;3052;763;1;20;69;3
Apartment;Entire home/apt;184;1;24;13;1;1;2;Strict;200;80;;170;3000;1190;5;28;75;4
Apartment;Entire home/apt;114;1;17;9;1;1;2;Moderate;250;50;30;135;3780;945;3;8;75;4
Apartment;Private room;77;0;14;14;1;1;2;Flexible;;;15;73;2044;395;1;14;53;4
Apartment;Entire home/apt;139;0;8;7;1;1;4;Moderate;1000;;;120;3360;800;2;6;53;4
Apartment;Private room;;;0;4;1;1;2;Flexible;;20;;150;4452;900;5;0;75;4
House;Entire home/apt;;;1;1;2;1;6;Strict;500;125;25;120;3562;840;5;31;25;
House;Entire home/apt;152;1;40;129;1;1;2;Strict;300;100;;125;3500;970;4;40;53;4
House;Private room;99;0;1;1;1;1;3;Moderate;200;20;10;90;1900;500;1;11;53;2
House;Private room;155;0;1;2;1;2;3;Moderate;100;20;;130;3640;910;1;12;75;3
House;Private room;88;1;8;11;1;1;2;Strict;150;50;;75;1500;575;1;8;53;3
Apartment;Shared room;;;0;4;1;4;1;Flexible;500;50;;129;3829;899;1;;75;4
Apartment;Entire home/apt;;;0;0;3;2;4;Flexible;2000;200;;200;5900;1400;1;12;84;
House;Entire home/apt;150;1;30;5;2;1;5;Strict;500;75;25;135;3780;945;2;12;53;4
Apartment;Private room;;;0;1;1;1;2;Flexible;150;100;;155;4600;848;1;0;75;
Apartment;Entire home/apt;165;1;58;78;1;1;2;Moderate;300;100;;139;3600;973;30;20;75;4
Apartment;Private room;;;0;0;1;1;1;Flexible;;;;500;14000;3500;3;6;75;
Apartment;Private room;43;1;5;4;1;1;1;Flexible;;;;46;1281;274;1;5;75;4
Apartment;Shared room;74;1;15;72;1;1;2;Moderate;;35;10;70;1650;450;4;14;75;3
Apartment;Entire home/apt;253;1;9;5;2;2;6;Flexible;200;160;;220;3450;970;1;9;73;4
Apartment;Private room;50;0;1;0;1;1;2;Moderate;;;;50;1400;350;2;9;53;
Apartment;Shared room;60;1;2;1;1;1;1;Flexible;95;;;60;1680;420;1;8;75;4
Apartment;Private room;;;0;;1;1;2;Flexible;;;;65;1359;400;2;;8;
House;Entire home/apt;213;1;22;2;3;1;7;Moderate;250;75;;135;3780;945;3;11;69;1
Earth House;Private room;;;0;0;1;1;1;Moderate;;15;;89;2492;623;2;6;53;
Apartment;Entire home/apt;338;1;4;10;2;2;4;Strict;500;150;;325;6200;2100;7;17;75;4
House;Private room;160;0;6;3;1;2;2;Moderate;200;60;100;109;3052;763;2;28;28;4
House;Entire home/apt;;;0;0;4;5;10;Flexible;500;100;;502;14056;3514;3;30;75;
Condominium;Shared room;;;0;0;1;1;2;Strict;;15;;80;2240;560;1;7;75;
Apartment;Private room;;;0;;1;1;2;Flexible;;;;210;6233;1470;1;;75;
Apartment;Private room;119;1;10;3;1;2;1;Flexible;;;;115;2900;800;2;7;75;4
Apartment;Entire home/apt;;;0;2;1;1;4;Flexible;;;;90;2520;630;1;7;77;4
Apartment;Entire home/apt;;;0;0;2;2;7;Strict;;150;;1000;7000;28000;1;6;75;
House;Entire home/apt;;;0;0;6;6;12;Flexible;;;;4000;112000;28000;1;2;67;
Apartment;Entire home/apt;136;1;1;;0;1;2;Flexible;200;135;;126;3021;882;3;;75;
Apartment;Shared room;87;0;2;2;1;1;2;Flexible;;25;;90;2520;600;3;6;75;3
House;Private room;45;1;5;7;1;1;1;Strict;;5;;45;1200;315;1;15;58;4
Apartment;Shared room;;;0;6;1;2;2;Strict;;;50;70;2095;0;1;0;75;2
House;Private room;71;1;28;38;1;2;2;Strict;200;25;10;75;1600;465;2;27;53;4
Apartment;Private room;79;1;88;133;1;1;2;Strict;;;;78;2184;546;1;13;75;4
Apartment;Private room;;;0;1;1;1;1;Strict;200;;;90;2671;0;4;0;75;
Apartment;Entire home/apt;174;1;31;15;1;1;3;Strict;;99;30;175;4900;1225;3;16;75;4
House;Shared room;155;1;1;0;1;1;1;Strict;;;;155;1085;4340;1;1;75;
House;Entire home/apt;300;1;32;52;3;1;6;Moderate;600;150;25;275;5500;1950;3;37;75;4
Apartment;Entire home/apt;;;0;1;1;1;4;Strict;250;;;65;1951;395;1;0;53;
Condominium;Private room;98;1;27;24;1;1;2;Strict;150;45;55;95;2660;665;2;8;75;4
House;Entire home/apt;200;0;1;0;1;1;2;Flexible;;;;200;5600;1400;1;1;53;
Apartment;Private room;;;0;0;1;1;1;Moderate;500;;;65;1931;450;2;0;75;
Apartment;Entire home/apt;;;0;0;1;1;4;Flexible;;40;;98;2744;686;1;1;92;
House;Private room;58;1;2;;1;1;2;Flexible;;10;10;55;1661;340;1;;27;
House;Entire home/apt;497;1;39;38;4;4;8;Strict;500;140;;575;11500;3000;3;9;75;4
House;Private room;68;1;19;13;1;1;2;Flexible;;;;65;1820;455;2;16;68;4
House;Private room;;;0;0;1;;;;;;;75;2239;525;2;5;44;
Apartment;Entire home/apt;175;1;12;9;1;1;3;Moderate;5100;100;;160;4480;1000;5;28;75;3
Apartment;Entire home/apt;360;1;9;6;2;2;6;Strict;600;100;30;378;10584;2646;2;12;75;4
Apartment;Entire home/apt;;;0;13;1;1;4;Moderate;100;55;45;309;7950;1975;2;0;75;4
House;Entire home/apt;;;0;3;3;2;8;Flexible;250;;25;300;8904;1500;2;13;84;2
Apartment;Private room;;;0;1;1;1;2;Moderate;;20;10;75;2239;0;2;0;75;
House;Entire home/apt;2158;0;6;6;10;7;16;Strict;2000;600;60;1975;49500;13500;3;47;77;4
Apartment;Entire home/apt;179;1;3;0;1;1;2;Flexible;500;65;;175;4900;1225;4;4;75;
Apartment;Entire home/apt;273;0;7;7;1;1;2;Flexible;100;50;;280;4250;1250;1;15;75;4
House;Private room;250;0;1;0;1;1;2;Flexible;;;;200;5600;1400;4;19;27;
;Entire home/apt;200;0;3;0;1;1;4;Flexible;;;;200;5936;1400;1;10;75;
House;Entire home/apt;50;1;1;4;0;1;1;Strict;;;;50;1516;350;3;;53;4
House;Private room;;;0;1;1;1;1;Strict;;50;;40;832;0;10;0;53;
House;Private room;75;0;4;1;1;1;1;Moderate;200;;;70;1020;400;5;21;79;
Apartment;Private room;;;0;0;1;1;2;Flexible;500;40;;450;12600;3150;1;5;75;
House;Private room;118;1;6;8;1;1;2;Moderate;;54;;99;2772;693;2;20;75;4
House;Entire home/apt;;;0;0;2;1;4;Strict;5000;125;;165;4620;1155;14;25;8;
Apartment;Private room;;;0;0;1;1;3;Moderate;;;;60;1680;420;1;1;25;
Apartment;Entire home/apt;92;1;12;4;1;0;2;Flexible;;25;;75;2100;525;1;2;75;3
;Shared room;;;0;;1;;;Flexible;;;;30;1043;225;1;;75;
Condominium;Private room;60;0;6;8;1;1;2;Flexible;;;;65;1820;455;2;17;92;4
House;Entire home/apt;;;0;3;1;1;2;Strict;750;85;;200;5600;1400;2;12;75;4
House;Entire home/apt;217;1;1;2;3;3;6;Flexible;200;125;;175;4900;1225;2;18;72;4
Apartment;Entire home/apt;;;0;1;1;1;3;Moderate;;;;168;3180;750;2;0;75;
House;Entire home/apt;251;1;41;40;2;1;4;Strict;2500;150;25;236;4956;1404;1;32;57;4
House;Entire home/apt;;;0;;2;2;2;Moderate;200;90;;204;6055;1428;4;;75;
House;Private room;70;0;1;0;1;2;3;Flexible;100;35;;71;1988;497;2;5;75;
Other;Private room;;;0;0;1;1;2;Flexible;;;;1250;35000;8750;1;3;75;
Apartment;Entire home/apt;;;0;1;2;1;1;Moderate;;;;135;3780;945;1;6;19;4
Apartment;Private room;;;0;0;1;1;1;Strict;500;80;;141;3379;1021;1;0;75;
House;Private room;63;1;2;13;1;1;2;Strict;;75;25;77;920;539;3;31;14;4
House;Entire home/apt;632;1;3;0;2;2;5;Strict;500;120;100;425;11900;5500;2;16;75;
House;Entire home/apt;1047;0;18;2;6;3;14;Strict;2000;350;;750;10000;4500;2;80;72;4
Apartment;Entire home/apt;;;0;3;2;2;4;Flexible;;75;;275;8162;0;2;0;75;4
House;Private room;102;0;0;;1;1;2;Flexible;;50;20;100;1982;700;1;;75;
Apartment;Entire home/apt;;;0;0;1;1;2;Flexible;;;;109;3235;700;1;0;79;
House;Shared room;;;0;0;1;2;1;Moderate;;20;;39;1092;273;3;8;75;
Apartment;Private room;110;0;5;1;1;1;2;Flexible;;;;110;3080;670;5;6;75;4
Apartment;Private room;178;0;8;0;1;1;2;Strict;200;50;;180;4200;1200;1;58;75;
House;Entire home/apt;294;1;4;13;2;2;4;Strict;5000;150;;260;7280;1820;3;12;75;4
Apartment;Shared room;51;1;54;28;1;2;1;Strict;;;;55;1540;385;2;7;75;4
Apartment;Shared room;;;0;10;1;1;1;Strict;400;25;;90;2671;420;1;0;75;3
House;Shared room;43;0;12;15;1;3;2;Flexible;;;40;40;1120;280;2;40;79;4
Condominium;Entire home/apt;160;1;1;0;1;2;2;Flexible;;50;;200;5600;1400;7;8;75;
House;Entire home/apt;213;0;4;2;3;2;3;Strict;500;150;;200;5600;1400;7;65;53;3
Townhouse;Private room;;;0;0;1;1;1;Flexible;;;;300;8400;2100;1;2;30;
Apartment;Entire home/apt;;;0;2;1;2;2;Strict;100;70;;250;7000;1700;2;11;75;4
House;Private room;67;1;2;1;1;1;4;Moderate;100;19;15;65;1820;455;2;30;33;4
Apartment;Entire home/apt;72;1;8;5;1;1;2;Strict;;30;;59;1599;399;1;11;82;3
House;Private room;;;0;0;1;1;2;Flexible;200;50;;150;4200;1050;1;34;;
House;Entire home/apt;189;0;3;;2;1;6;Flexible;;;;179;5313;999;5;;27;
House;Entire home/apt;65;1;24;22;1;1;3;Moderate;200;;25;115;1049;350;1;7;53;4
Apartment;Entire home/apt;118;1;38;30;0;1;5;Strict;;40;10;109;2800;763;2;16;19;4
House;Entire home/apt;;;0;0;3;2;6;Strict;500;;;144;4032;1008;7;8;82;
House;Private room;72;1;18;11;1;1;1;Moderate;300;30;;55;1540;385;1;3;30;4
Apartment;Entire home/apt;328;0;2;6;2;2;4;Strict;250;100;;250;7000;1750;2;11;75;4
House;Private room;88;1;63;39;1;1;2;Strict;;35;;60;1680;500;1;17;57;3
House;Private room;77;0;1;3;1;1;1;Strict;500;50;;65;1650;450;7;23;6;4
"Bed &amp; Breakfast";Entire home/apt;175;1;43;24;1;1;4;Moderate;500;;;129;3612;903;1;21;75;3
Apartment;Entire home/apt;156;1;91;128;0;1;2;Moderate;200;40;;159;4452;1113;2;17;75;4
House;Private room;;;0;5;1;1;4;Strict;300;40;35;55;1661;0;2;0;75;3
House;Entire home/apt;209;1;3;3;4;3;6;Moderate;500;120;;185;4950;1350;3;12;17;3
Apartment;Private room;112;1;10;16;1;1;2;Moderate;;40;20;99;2938;599;2;12;75;3
Apartment;Private room;105;1;18;25;1;1;2;Moderate;;10;;100;2200;700;2;17;75;4
Apartment;Entire home/apt;;;0;1;1;1;2;Moderate;;75;;150;4452;900;2;0;75;
Apartment;Entire home/apt;102;1;24;22;1;1;1;Moderate;;35;;80;2240;560;5;10;75;2
House;Entire home/apt;207;0;11;5;3;1;4;Moderate;500;50;;250;7000;1750;3;15;1;4
Apartment;Entire home/apt;94;0;5;4;1;1;2;Strict;;60;;72;1550;600;10;25;53;2
Apartment;Shared room;;;0;0;1;1;2;Flexible;100;;;50;1400;350;1;1;79;
Apartment;Entire home/apt;140;1;100;102;1;1;2;Moderate;150;25;;126;3528;882;1;13;58;3
Apartment;Entire home/apt;311;0;10;3;1;1;3;Moderate;300;75;;200;5600;1400;2;11;75;4
Apartment;Private room;;;0;13;1;1;2;Strict;100;35;35;109;3235;750;1;0;75;3
House;Private room;60;0;1;3;1;1;1;Strict;;;;60;1680;420;3;4;64;4
Apartment;Entire home/apt;;;0;0;0;1;4;Flexible;;20;;95;2820;450;1;0;84;
Apartment;Entire home/apt;;;0;1;1;1;4;Flexible;;;;250;7000;1750;1;27;75;4
Apartment;Private room;;;0;;1;1;2;Strict;150;;90;99;2938;693;1;;8;
Condominium;Entire home/apt;170;1;5;1;2;1;4;Strict;500;;25;179;5012;1253;3;10;75;4
House;Private room;110;1;47;24;1;2;2;Flexible;;20;;100;2200;513;1;9;75;2
Apartment;Entire home/apt;;;0;;1;1;4;Flexible;;;;199;5906;1393;1;;75;
House;Shared room;;;0;6;1;0;1;Flexible;;;;50;1516;0;1;0;75;3
Apartment;Entire home/apt;145;1;15;7;0;1;2;Moderate;150;35;;130;3858;910;1;6;75;2
Apartment;Private room;500;0;4;2;1;2;2;Flexible;;;;500;14000;3500;1;2;75;4
House;Entire home/apt;367;1;6;3;4;4;8;Strict;500;150;;399;6500;1900;3;13;38;4
House;Entire home/apt;119;0;11;11;1;1;2;Moderate;;50;;95;2660;665;2;8;75;4
Apartment;Private room;;;0;1;1;2;2;Flexible;;;;150;4452;0;1;0;75;
Condominium;Entire home/apt;262;0;5;0;1;1;4;Strict;200;50;;250;7000;1750;2;18;75;
House;Private room;52;1;9;3;1;1;3;Strict;100;8;5;45;1260;315;1;20;27;4
Apartment;Entire home/apt;;;0;0;1;1;2;Flexible;;;;150;4452;950;1;0;75;
Apartment;Private room;;;0;0;1;1;2;Flexible;100;60;30;65;1820;455;1;3;8;
House;Private room;105;0;8;4;1;1;1;Moderate;200;40;;100;1800;500;1;17;58;3
Condominium;Private room;;;0;0;1;1;2;;99;29;;59;1652;413;4;5;30;
Apartment;Private room;;;0;20;1;1;2;Strict;;;;37;1134;0;1;0;53;3
Apartment;Entire home/apt;195;0;3;0;1;2;4;Flexible;;;;210;5880;1470;1;4;75;
Bungalow;Entire home/apt;213;1;1;0;1;1;2;Strict;250;100;;195;5460;1365;1;9;5;
Apartment;Private room;38;1;7;3;1;1;2;Moderate;400;30;;30;840;210;3;3;52;4
House;Private room;65;1;1;2;1;2;2;Flexible;;10;;60;1680;400;1;12;53;4
House;Entire home/apt;;;0;;4;4;5;Strict;1500;175;25;172;4770;1200;7;;8;
Apartment;Entire home/apt;;;0;0;2;1;4;Flexible;;;;950;26600;6650;3;3;75;
Apartment;Private room;;;0;;1;1;2;Flexible;;;;120;3562;840;1;;75;
Apartment;Entire home/apt;109;0;15;19;1;1;2;Strict;95;12;;126;1999;589;1;13;8;4
Apartment;Private room;45;1;1;0;1;1;2;Flexible;95;15;;46;1288;322;1;2;8;
Loft;Entire home/apt;340;0;8;41;1;1;3;Strict;295;95;75;295;10600;2200;1;17;75;4
Condominium;Entire home/apt;537;0;1;0;2;1;5;Strict;;;;1300;36400;9100;7;10;75;
Apartment;Private room;105;1;55;61;1;1;2;Moderate;;20;50;100;2500;700;3;12;75;4
House;Private room;83;1;3;3;1;1;2;Flexible;;30;30;100;1500;520;3;13;75;3
House;Private room;;;0;3;1;1;2;Flexible;;;;69;1932;483;2;5;;4
House;Shared room;;;0;1;1;3;1;Strict;500;100;;69;900;300;1;1;5;4
House;Private room;56;1;60;138;1;1;1;Moderate;;;;50;1400;350;2;13;25;4
House;Entire home/apt;450;1;7;11;2;2;4;Flexible;;;;450;12600;3150;1;33;12;4
House;Entire home/apt;;;0;0;1;2;4;Flexible;;;;198;5544;1386;1;4;;
House;Entire home/apt;128;0;4;3;1;1;4;Strict;;50;;120;3360;840;13;14;53;2
Apartment;Private room;;;0;19;1;1;2;Moderate;;8;30;90;2671;0;0;0;75;4
Apartment;Private room;134;0;2;0;1;1;2;Flexible;;10;;100;2800;700;2;3;75;
"Bed &amp; Breakfast";Private room;;;0;1;1;2;4;Moderate;200;45;;198;5544;1386;1;36;45;4
House;Entire home/apt;;;0;0;2;2;3;Flexible;;;;120;3562;840;7;1;79;
Apartment;Private room;146;0;2;2;1;1;2;Strict;;40;;110;3080;770;5;12;75;2
Townhouse;Private room;;;0;0;1;2;2;Moderate;;10;;42;1176;294;4;19;30;
House;Entire home/apt;117;1;53;46;1;1;3;Strict;200;;25;130;3640;750;3;17;75;4
Apartment;Private room;75;1;6;0;1;1;2;Flexible;;;;110;3080;770;1;10;75;
House;Shared room;;;0;0;1;1;4;Moderate;;20;38;38;;;3;9;75;
House;Entire home/apt;283;1;2;2;4;2;8;Moderate;1000;250;;275;7700;1925;7;22;58;4
Apartment;Entire home/apt;163;0;15;15;0;1;2;Moderate;250;50;20;150;4200;1050;2;19;75;3
House;Entire home/apt;;;0;1;2;1;4;Moderate;;;;200;3392;1000;2;29;75;
Apartment;Private room;;;0;0;1;1;1;Strict;;;;100;672;700;1;5;8;
Apartment;Entire home/apt;;;0;0;2;1;4;Strict;;;;200;4500;1500;1;3;52;
Apartment;Entire home/apt;;;0;0;1;1;2;Flexible;200;30;;110;3080;770;1;12;;
House;Private room;;;1;1;1;1;2;Strict;500;;;210;5880;1470;2;22;75;4
Apartment;Entire home/apt;162;1;38;37;0;1;4;Moderate;300;50;20;150;4200;1050;2;21;75;3
House;Entire home/apt;88;0;3;0;0;1;2;Moderate;200;35;;75;1600;460;1;3;8;
House;Private room;185;0;2;0;1;2;2;Flexible;;;;175;4900;1225;1;4;92;
House;Entire home/apt;;;0;4;3;2;10;Moderate;299;149;;59;1652;413;1;5;33;4
Apartment;Private room;57;1;8;7;1;2;2;Moderate;150;40;;50;1100;300;5;15;53;4
House;Private room;;;0;19;1;1;1;Moderate;;50;;80;1500;400;2;14;75;4
Apartment;Entire home/apt;278;0;11;8;2;1;5;Strict;300;125;;245;6860;1715;2;13;75;3
Apartment;Entire home/apt;400;0;2;0;0;1;4;Super Strict 60 Days;;;;489;13692;3423;3;13;75;
Condominium;Shared room;;;0;0;1;1;1;Strict;;15;;80;2240;560;1;8;75;
House;Private room;135;0;4;0;1;1;2;Strict;250;30;;100;1982;525;2;8;75;3
Apartment;Private room;45;1;13;11;1;1;2;Moderate;;;;45;1260;315;2;7;8;4
House;Entire home/apt;;;0;0;2;2;3;Flexible;500;140;;225;6300;1575;4;17;53;
Apartment;Entire home/apt;169;1;91;55;0;1;2;Moderate;150;30;;165;4620;1155;3;15;75;4
Other;Entire home/apt;;;0;0;0;1;2;Strict;350;150;;95;2545;700;3;0;75;
House;Private room;;;0;1;1;1;2;Flexible;;;;180;5040;1260;1;5;75;4
Apartment;Entire home/apt;65;0;1;0;1;1;2;Flexible;100;;;65;1820;455;7;8;8;
Apartment;Entire home/apt;;;0;20;1;2;3;Moderate;;100;50;189;4028;1150;4;0;75;4
House;Entire home/apt;;;0;3;1;1;2;Strict;300;80;;169;5016;1183;4;;75;3
Loft;Entire home/apt;200;1;1;1;1;2;4;Flexible;;;;200;5600;1400;1;3;75;4
House;Private room;;;0;3;1;1;2;Flexible;;;;60;1680;420;2;7;53;4
Apartment;Entire home/apt;313;0;31;20;2;2;3;Strict;450;120;;285;7980;1995;2;16;75;4
House;Entire home/apt;360;1;35;192;3;2;5;Strict;400;125;30;350;6900;2450;4;22;75;4
Apartment;Entire home/apt;302;1;39;15;2;1;6;Strict;;50;;279;7812;1953;2;9;75;4
Apartment;Entire home/apt;339;0;10;0;5;2;10;Strict;400;100;20;325;9750;2275;1;32;75;
House;Private room;91;1;9;3;1;1;3;Moderate;;45;;75;2100;525;1;10;45;4
Apartment;Entire home/apt;;;0;10;1;1;7;Strict;299;119;10;149;4663;1149;3;0;75;1
Apartment;Entire home/apt;179;1;22;7;2;1;6;Moderate;;15;15;200;5600;1400;2;7;75;4
Apartment;Entire home/apt;127;1;10;6;0;1;2;Strict;1500;100;;97;3360;835;1;7;44;2
Apartment;Entire home/apt;211;1;84;111;1;1;2;Strict;;100;50;250;3000;750;2;12;84;4
House;Entire home/apt;139;1;13;14;1;1;4;Strict;;50;20;135;3780;700;2;42;53;4
Apartment;Private room;129;0;12;16;1;2;2;Moderate;350;75;35;125;2290;755;2;31;75;3
House;Private room;108;1;110;136;1;2;2;Moderate;95;35;10;99;2980;720;1;21;75;4
Apartment;Entire home/apt;;;0;1;1;1;6;Flexible;150;25;;75;1950;550;14;8;75;4
Apartment;Entire home/apt;84;1;2;5;1;1;3;Flexible;100;30;;75;2100;600;2;8;53;3
Apartment;Entire home/apt;155;1;10;14;0;1;1;Strict;;;;169;4732;1183;3;9;75;4
Apartment;Private room;213;0;11;64;1;1;1;Strict;150;60;;189;3000;1323;1;17;75;4
Apartment;Entire home/apt;121;1;7;0;1;1;2;Flexible;;;;100;2800;1000;7;12;75;
House;Entire home/apt;534;0;13;6;3;2;6;Strict;950;125;50;480;13440;2630;2;40;75;4
House;Entire home/apt;261;0;8;5;4;2;6;Strict;500;100;;250;7208;1800;7;16;84;3
House;Entire home/apt;;;0;0;4;2;8;Flexible;;;;1500;42000;10500;3;13;75;
Condominium;Entire home/apt;314;0;2;0;1;1;4;Strict;;;;275;1925;7700;2;22;75;
Chalet;Entire home/apt;211;0;31;39;0;1;4;Strict;300;50;25;186;5208;1300;2;31;32;4
House;Entire home/apt;;;0;0;3;3;7;Strict;150;;;175;5194;0;4;0;68;
Apartment;Entire home/apt;154;1;41;10;1;1;2;Strict;2000;65;;145;4060;1015;2;26;75;4
Apartment;Shared room;30;0;3;1;1;1;1;Moderate;;;;30;840;210;1;2;8;4
House;Private room;85;1;31;41;1;1;2;Moderate;300;15;30;75;2100;525;1;9;68;4
House;Private room;;;0;3;1;2;2;Moderate;;;;53;1568;0;1;10;33;3
House;Private room;99;1;5;210;1;1;2;Moderate;100;15;10;84;2520;588;1;19;32;4
Apartment;Private room;126;0;4;1;1;1;1;Flexible;;40;;100;2800;700;1;6;75;4
Apartment;Private room;;;0;;1;1;2;Flexible;;;;100;2968;700;1;;75;
House;Private room;119;1;7;4;1;6;2;Strict;400;50;20;99;2938;693;1;13;75;4
House;Private room;80;1;12;3;1;1;2;Strict;100;60;40;69;1932;483;1;22;8;1
Apartment;Private room;;;0;1;1;1;1;Moderate;;;;80;2400;530;5;5;75;
Townhouse;Entire home/apt;205;0;8;1;2;2;4;Strict;600;100;;175;4900;1225;2;14;33;4
House;Private room;;;0;;1;1;1;Strict;;50;;72;1620;440;7;;8;
Apartment;Private room;;;0;0;1;1;2;Flexible;100;25;;99;2772;693;1;7;75;
House;Entire home/apt;;;0;3;1;1;2;Moderate;200;40;;130;3640;910;1;5;;3
House;Private room;90;0;3;2;1;1;2;Flexible;;10;;95;2660;665;1;6;30;2
House;Entire home/apt;340;1;57;75;2;1;4;Strict;200;113;25;250;7000;1750;3;20;75;3
House;Entire home/apt;255;1;6;4;1;1;2;Flexible;500;40;;250;1800;6000;2;29;75;3
Apartment;Entire home/apt;;;0;0;4;2;8;Flexible;;;;1100;30800;7700;1;7;75;
House;Private room;114;0;8;12;1;2;2;Moderate;;60;;110;2600;660;2;10;8;3
Apartment;Entire home/apt;107;0;8;8;1;1;2;Moderate;200;40;;90;2200;600;2;4;72;3
Other;Private room;134;1;25;5;1;1;3;Moderate;;;;121;3388;847;1;11;75;2
Apartment;Entire home/apt;;;0;0;2;1;4;Strict;;;;400;11200;2800;3;1;53;
Apartment;Entire home/apt;268;1;4;2;1;1;1;Strict;500;;;282;7896;1974;10;14;75;3
House;Entire home/apt;985;0;2;3;3;3;8;Super Strict 60 Days;400;235;;900;25200;4790;2;33;22;2
Apartment;Entire home/apt;;;0;0;2;1;6;Flexible;;;;400;11200;2800;1;1;12;
